id,name,followers_count,lang,time_zone,text,retweet_count
1502026416.0,TASUKU HAYAKAWA,208.0,ja,Tokyo,"RT @morningJewshow: Speaking about Jews and comedy tonight at Temple Emanu-El in San Francisco. In other words, my High Holidays.",1.0
2492782375.0,ro_or,330.0,ja,Tokyo,This age/face recognition thing..no reason platforms can't have changing avatars of our actual faces to increase affect/better communication,0.0
293212315.0,bearclaw,166.0,en,Eastern Time (US & Canada),Only upside of the moment I can think of is that network news hasn't booked their #Baltimore panels with Bill Cosby.#fb,0.0
191839658.0,pocahontas farida,2248.0,en,Greenland,If you're going to think about+create experiences then you need a broad knowledge of what the human experience is. #peopleoverinterfaces #UX,2.0
3020965143.0,Ms Kathy,21.0,en,Easter Time (US & Canada),Watching a thread on FB about possible future of UX speaker and crowd suggestions seem 96%white American dudes. Dream broadly people.,0.0
2157382005.0,JO,641.0,en,Central Time (US & Canada),Don't. Ok? https://t.co/uTXrJ6zvdN,0.0
1947320929.0,DMcKaylaD,1042.0,en,Easter Time (US & Canada),"RT @SanFranciscoBA: #enoughsenough ""Surprise! Woody AllenÃ¢â¬â¢s new film is about a young girlÃ¢â¬â¢s romance with a much older man."" =&gt; http://t.coÃ¢â¬Â¦",1.0
255846106.0,Giselle,561.0,es,Santiago,"RT @thepatrickwalsh: Kriss Kross once rapped ""some of them try to rhyme but they can't rhyme like this,"" then rhymed ""jump"" with ""jump"" forÃ¢â¬Â¦",49.0
1733095801.0,Nicole Romany,337.0,en,Easter Time (US & Canada),RT @TheAtlanticPOL: Watch Baltimore native @tanehisicoates speak on Race in America @JohnsHopkins this morning at 10:30. Livestream here: hÃ¢â¬Â¦,231.0
1336097480.0,Fallen Angel,421.0,en,Beijing,@thelancearthur @hotdogsladies I didn't realize anyone has ever made it to dessert there.,0.0
380322177.0,Caroline Bell,335.0,en,Samoa,RT @sippey: Here's my one paragraph review of the new MacBook. https://t.co/vUcQgXQJEG,11.0
32988810.0,2C Development Group,232.0,en,Central Time (US & Canada),@wkamaubell I stand by you. I don't want men telling me what's sexist either People are the experts on their own experience.,0.0
21959183.0,Randee Deason,1948.0,en,Pacific Time (US & Canada),@frogtosser Thank you Becca.,0.0
1553611423.0,Patricia d,271.0,en,Beijing,"@MMFlint I dont' ask for RTs gen, but my friend @frakintosh is a Columbine survivor who needs to finally get therapy http://t.co/SRbhQ3nweH",0.0
348080571.0,Daniel G,16.0,en,Pacific Time (US & Canada),"Not only$ but acts+messages from people that say ""you're still here, you matter.""Pls tell @frakintosh u care. http://t.co/SRbhQ3nweH  #PTSD",0.0
839690880.0,51Talk,1190.0,en,Beijing,To live with untreated PTSD is to feel like you might die any moment. Again and again. Help costs money. http://t.co/SRbhQ3nweH#fb,1.0
143687056.0,Adrenalin Trip,7842.0,en,Wellington,@frakintosh is also a Columbine survivor. Miles away from the big news coverage he is still struggling. http://t.co/SRbhQ3nweH#fb,0.0
2291421004.0,teigan///inactive rn,552.0,en-gb,,@frakintosh is old skool web. A good web citizen. A maker. A team player. he needs a web of help now http://t.co/SRbhQ3nweH cc @anildash,0.0
2337494094.0,x5SOS Imaginesx,223.0,en,Tijuana,One reason my life has gotten better is the support of my dear friend @frakintosh. Now he needs help. Pls join me http://t.co/SRbhQ3nweH#fb,3.0
225241810.0,Tiffany Bailey,303.0,en,Easter Time (US & Canada),RT @FINALLEVEL: Jon Stewart got it RIGHT again! Watch the wake up call he gave his #DailyShow viewers regarding the #BaltimoreRiots. http:/Ã¢â¬Â¦,230.0
375114767.0, Bombshell2ne1,1978.0,en,Alaska,@deray Thank you.,0.0
52929021.0,Unruly Zario ,1605.0,en,Quito,RT @iamsakuma: Hundreds of people are in Union Square about to march uptown via 6th Avenue #blacklivesmatter http://t.co/r3x5wzEm8J,15.0
1657000316.0,Sue a,212.0,en,Easter Time (US & Canada),"""Sexy. But crazy."" I play with makeup for the first time.  #girlyoudontneedmakeup @amyschumer https://t.co/TF59QK1dmY",0.0
325967359.0,.KB (K> !I() ,1206.0,en,Chennai,"""Sexy. But crazy."" I play with makeup for the first time. From the early vlogging days. #girlyoudontneedmakeup... http://t.co/zOypKmH5X0",0.0
585912212.0,Ade,435.0,en,Amsterdam,"""Sexy. But crazy.""  I play with makeup for the first time. From the early vlogging days. #girlyoudontneedmakeup... http://t.co/3GEVM4MuSr",0.0
2419936286.0,AA12,7644.0,en,Arizona,@leadership_tech When will OTHS stop with the sound system in the front plaza that is disturbing the neighborhood?,0.0
2320414572.0,Angelo,182.0,en,Beijing,"Infuriating to have the Oakland PD tell me they won't have the authority to do anything. If I did the same thing the school is, they would",0.0
262531823.0,Abid,9815.0,en,Central Time (US & Canada),The best part of heading to Toronto for a month will be not having to hear this school system. My councilmember @dankalb has ignored this.,0.0
226315121.0,Casti,349.0,es,Madrid,Oakland Tech is once again got the stadium level audio going for the giant crowd of 6 ppl in front of the skul. Ignoring the neighborhood.,0.0
492649414.0,Desastres Naturales ,726.0,es,Eastern Time (US & Canada),The Seinfeld series is going to be on Huluhttp://t.co/YMq9svLI9S#fb,0.0
56554591.0,A²M¼,879.0,en,Central Time (US & Canada),"@TWiBnation is grassroots media covering, on the ground, Baltimore, Ferguson and all the #BlackLivesMatter movement .",0.0
85193539.0,Nancy DeWitt,3205.0,en,Alaska,@kevinroose This got funded during this first Net boom too. I took a gander at the iSmell for the NPR Circuits show https://t.co/gPmlFysl7X,0.0
166211662.0,,543.0,en,Pacific Time (US & Canada),RT @waxpancake: 17 police reform bills went up before Maryland legislators last month. Police lobbyists helped kill all but three. http://tÃ¢â¬Â¦,20.0
222290847.0,HUGO ARRIAGA,10.0,en,Easter Time (US & Canada),RT @camerontw: fingers crossed - we need good news RT @pkedrosky Ben Horowitz (Lyft investor) says Uber is losing Ã¢â¬Åon order of a billion doÃ¢â¬Â¦,1.0
2765166293.0,T ,90.0,en,Easter Time (US & Canada),How did your grandparents meet? Mine involved a guy named Mooch Gluskin. #howIgothere#fb,0.0
2497379616.0,alberto tankredi,223.0,es,Caracas,RT @nationalpost: Surgery no longer required for trans Canadians to change gender on citizenship certificates http://t.co/PS4IsIjBsL http:/Ã¢â¬Â¦,611.0
69991603.0,"Femi"",AYODELE7""",77.0,,Trinidad and Tobago,"RT @ozchrisrock: The media isn't gonna show it, but I will. Here's a pic of Baltimore citizen's lining up to protect the police. http://t.cÃ¢â¬Â¦",11162.0
357747403.0,Abdullah Al-Ruwaieh,25.0,en,Kuwait,"RT @voxdotcom: In Freddie Gray's Baltimore neighborhood, half of the residents don't have jobs: http://t.co/BQpAghMGqV http://t.co/VMnJdVr1Ã¢â¬Â¦",91.0
430285181.0,Anna,661.0,en,Eastern Time (US & Canada),@studiomondeo are you sticking with @mailbox or have you switched? which phone is it weirding out on for you?,0.0
1141299306.0,A G d,832.0,en,Beijing,"RT @anildash: Right now, you can directly help a family in Baltimore pay their water bill: https://t.co/R3AhCLW7qy I don't ask this often, Ã¢â¬Â¦",1423.0
37407255.0, Í¨¿­ ¨¿¯¼ËÀ,7785.0,en,Kolkata,MT@xeni All you need to know abt why there r there riots in Baltimore is in these charts. http://t.co/2xdobenYtf http://t.co/EeoXqLGJ2E #fb,0.0
112295272.0,Aankhi Ghosh,697.0,en,New Delhi,RT @wkamaubell: Los Angeles! Wanna a sneak peak at my new TV show United Shades of America? Come to a free taping this Thurs. &amp; Fri. http:/Ã¢â¬Â¦,13.0
