message,label,followers_count
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",1,208
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,1,330
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,1,166
my whole body feels itchy and like its on fire ,0,2248
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",1,21
@Kwesidei not the whole crew ,1,641
Need a hug ,1,1042
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",1,561
@Tatiana_K nope they didn't have it ,1,337
@twittera que me muera ? ,1,421
spring break in plain city... it's snowing ,1,335
I just re-pierced my ears ,1,232
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,1,1948
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",1,271
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",1,16
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,1,1190
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,0,7842
about to file taxes ,1,552
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,1,223
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,1,303
@alydesigns i was out most of the day so didn't get much done ,1,1978
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",1,1605
@angry_barista I baked you a cake but I ated it ,1,212
this week is not going as i had hoped ,1,1206
blagh class at 8 tomorrow ,1,435
I hate when I have to call and wake people up ,0,7644
Just going to cry myself to sleep after watching Marley and Me.  ,1,182
im sad now  Miss.Lilly,1,9815
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,1,349
Meh... Almost Lover is the exception... this track gets me depressed every time. ,1,726
some1 hacked my account on aim  now i have to make a new one,0,879
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,1,3205
